Alue;nro;nykyiset_kunnat;kuva_1_yleiskuva_sankarihautausmaasta;kuva_1_kuvaajan_nimi;kuva_2_yksittäinen_hauta_risteineen_muistolaattoineen;kuva_2_kuvaajan_nimi;kuva_3_muistomerkki;kuva_3_kuvaajan_nimi;kuva_4_yleiskuva;kuva_4_kuvaajan_nimi;kuva_5_muu_muistomerkki;kuva_5_kuvaajan_nimi;kuvaukset_toteuttanut_kameraseura;hautausmaan_nimi;arkkitehti;hautoja;perustettu;paljastettu;nimi;kuvanveistäjä;pituus_n;leveys_e;tarkka_katuosoite
9;1;Akaa / Kylmäkoski;001_akaa_kylmakoski_01.jpg;Seija Hakala;001_akaa_kylmakoski_02.jpg;Seija Hakala;001_akaa_kylmakoski_03.jpg;Seija Hakala;001_akaa_kylmakoski_04.jpg;Seija Hakala;001_akaa_kylmakoski_05.jpg;Seija Hakala;Kameraseura 74 Valkeakoski ;Akaa, Kylmäkosken sankarihautausmaa;ei_ole;115;ei_ole;5/17/1953;ei_ole;Aukusti Veuro;61.09.18;23.41.11;Lehtitie 3,  37910 Kylmäkoski
9;2;Akaa / Toijala;002_akaa_toijala_01.jpg;Markku Teerikorpi;002_akaa_toijala_02.jpg;Markku Teerikorpi;002_akaa_toijala_03.jpg;Markku Teerikorpi;002_akaa_toijala_04.jpg;Markku Teerikorpi;;;Kameraseura 74 Valkeakoski ;Akaa, Toijalan sankarihautausmaa;ei_ole;138;ei_ole;1947.1954;sankarihautapatsas ja muistopatsas;Mikael Nordenswan ;61.9.53;23.51.41;Jussintie 6 , 37800 Akaa
9;3;Akaa / Viiala;003_akaa_viiala_01.jpg;Markku Teerikorpi;003_akaa_viiala_02.jpg;Markku Teerikorpi;003_akaa_viiala_03.jpg;Markku Teerikorpi;003_akaa_viiala_04.jpg;Markku Teerikorpi;;;Kameraseura 74 Valkeakoski ;Akaa, Viialan sankarihautausmaa;Oiva Wirkkala;101;1948;6/20/1948;ei_ole;Oiva Wirkala;61.12.55;23.45.33;Nordintie, 37830 Viiala
7;9;Asikkala;009_asikkala_01.jpg;Heikki Koivisto;009_asikkala_02.jpg;Heikki Koivisto;009_asikkala_03.jpg;Heikki Koivisto;009_asikkala_04.jpg;Heikki Koivisto;009_asikkala_05.jpg;Heikki Koivisto;Fotoklubi Lahti;Asikkalan hautausmaa;Ilmari Wirkkala ja Kaarlo Könönen;238;ei_ole;ei_ole;ei_ole;Esko Toiviainen ;61.2176;25.489579;Kappelintie 18, 17320 Asikkala
1;10;Askola;010_askola_01.jpg;Jyri Järvelä;010_askola_02.jpg;Jyri Järvelä;010_askola_03.jpg;Jyri Järvelä;ei_ole;;ei_ole;;Loviisan kameraseura ry;Askolan sankarihautausmaa;ei_ole;87;ei_ole;1949;ei_ole;Jaakko Paatela;60.31.50;25.35.51;Askolantie 21, 07500 Askola
20;11;Aura;011_aura_01.jpg;;011_aura_02.jpg;;011_aura_03.jpg;;011_aura_04.jpg;;ei_ole;;Aboca;Auran hautausmaa;V. Nortomaa;39;1940;6.12.1956;Äiti ja lapsi;Jussi Vikainen;60.60894;22.56245;Turuntie 437, 21370 Aura
22;17;Eura;017_eura_01.jpg;Mikko Vapanen;017_eura_02.jpg;Mikko Vapanen;017_eura_03.jpg;Mikko Vapanen;017_eura_04.jpg;Mikko Vapanen;017_eura_05.jpg;ei_ole;Rauman kameraseura ry;Euran kirkonviereinen hautausmaa;Ilmari Virkkala;101;1939;1941;ei_ole;Ilmari Virkkala;"61°08'01.5""N ";"22°07'50.7""E";Sorkkistentie 5, 27510 Eura
22;18;Eura / Kiukainen;018_eura_kiukainen_01.jpg;Tommi Hakkarainen;018_eura_kiukainen_02.jpg;Tommi Hakkarainen;018_eura_kiukainen_03.jpg;Tommi Hakkarainen;018_eura_kiukainen_04.jpg;Tommi Hakkarainen;018_eura_kiukainen_05.jpg;ei_ole;Rauman kameraseura ry;Kiukaisten kirkonviereinen hautausmaa;ei_ole;112;ei_ole;8/14/1949;ei_ole;Aimo Tukiainen;"61°12'58.1""N ";"22°05'06.5""E";Kirkkotie 2, 27400 Kiukainen
22;19;Eura, Hinnerjoki;019_eura_hinnerjoki_01.jpg;Mikko Vapanen;019_eura_hinnerjoki_02.jpg;Mikko Vapanen;019_eura_hinnerjoki_03.jpg;Mikko Vapanen;019_eura_hinnerjoki_04.jpg;Mikko Vapanen;019_eura_hinnerjoki_05.jpg;ei_ole;Rauman kameraseura ry;Hinnerjoen kirkonviereinen hautausmaa;Kirsti Liimatainen, Taisto Lehtonen ja Uuno Aaltonen;27;1940;ei_ole;ei_ole;Kirsti Liimatainen, Taisto Lehtonen;"60°59'35.4""N";" 21°59'24.8""E";Kirkkotie 36, 27600 Hinnerjoki
22;20;Eura, Honkilahti;020_eura_honkilahti_01.jpg;Markku Väänänen;020_eura_honkilahti_02.jpg;Markku Väänänen;020_eura_honkilahti_03.jpg;Markku Väänänen;020_eura_honkilahti_04.jpg;Markku Väänänen;020_eura_honkilahti_05.jpg;ei_ole;Rauman kameraseura ry;Honkilahden hautausmaa;ei_ole;40;1940;ei_ole;ei_ole;Olavi Manninen;"60°58'02.4""N ";"22°06'53.9""E";Kirkonahteentie 7, 27640 Honkilahti
