uri,original_narc_name
http://ldf.fi/warsa/places/cemeteries/h0001_1 ,Artjärvi 
http://ldf.fi/warsa/places/cemeteries/h0002_1 ,Askola 
http://ldf.fi/warsa/places/cemeteries/h0003_1 ,Espoo 
http://ldf.fi/warsa/places/cemeteries/h0004_1 ,"Hanko, uusi hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0005_1 ,"Helsinki, Hietaniemi "
http://ldf.fi/warsa/places/cemeteries/h0005_10 ,"Helsinki, Malmi "
http://ldf.fi/warsa/places/cemeteries/h0005_11 ,"Helsinki, Oulunkylä "
http://ldf.fi/warsa/places/cemeteries/h0005_12 ,"Helsinki, Kulosaari "
http://ldf.fi/warsa/places/cemeteries/h0005_13 ,"Helsinki, Honkanummi "
http://ldf.fi/warsa/places/cemeteries/h0005_2 ,"Helsinki, juutalainen hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0005_3 ,"Helsinki, islamilainen hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0005_4 ,"Helsinki, ortodoksinen hautausmaa I "
http://ldf.fi/warsa/places/cemeteries/h0005_5 ,"Helsinki, ortodoksisen Pyhän Nikolauksen srk:n hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0005_6 ,"Helsinki, Lauttasaari "
http://ldf.fi/warsa/places/cemeteries/h0005_7 ,"Helsinki, Munkkiniemi "
http://ldf.fi/warsa/places/cemeteries/h0005_8 ,"Helsinki, Huopalahti "
http://ldf.fi/warsa/places/cemeteries/h0005_9 ,"Helsinki, Pitäjänmäki "
http://ldf.fi/warsa/places/cemeteries/h0006_1 ,Hyvinkää 
http://ldf.fi/warsa/places/cemeteries/h0006_2 ,"Hyvinkää, Puolimatka "
http://ldf.fi/warsa/places/cemeteries/h0007_1 ,Inkoo 
http://ldf.fi/warsa/places/cemeteries/h0007_2 ,"Inkoo, Degerby "
http://ldf.fi/warsa/places/cemeteries/h0007_3 ,"Inkoo, Fagervik "
http://ldf.fi/warsa/places/cemeteries/h0009_1 ,Karjaa 
http://ldf.fi/warsa/places/cemeteries/h0009_2 ,"Karjaa, Mustio "
http://ldf.fi/warsa/places/cemeteries/h0010_1 ,Karjalohja 
http://ldf.fi/warsa/places/cemeteries/h0011_1 ,Karkkila 
http://ldf.fi/warsa/places/cemeteries/h0012_1 ,Grankulla/Kauniainen 
http://ldf.fi/warsa/places/cemeteries/h0013_1 ,Kerava 
http://ldf.fi/warsa/places/cemeteries/h0014_1 ,"Kirkkonummi, vanha hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0014_2 ,"Kirkkonummi, pohjoinen hautausmaa, Haapajärvi "
http://ldf.fi/warsa/places/cemeteries/h0014_3 ,"Kirkkonummi, uusi hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0015_1 ,Lapinjärvi 
http://ldf.fi/warsa/places/cemeteries/h0016_1 ,Liljendal 
http://ldf.fi/warsa/places/cemeteries/h0017_1 ,"Lohja, vanha hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0017_2 ,"Lohja, Etelä-Lohjan hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0019_1 ,Loviisa 
http://ldf.fi/warsa/places/cemeteries/h0020_1 ,Myrskylä 
http://ldf.fi/warsa/places/cemeteries/h0021_1 ,Mäntsälä 
http://ldf.fi/warsa/places/cemeteries/h0022_1 ,"Nummi-Pusula, Nummi "
http://ldf.fi/warsa/places/cemeteries/h0022_2 ,"Nummi-Pusula, Pusula "
http://ldf.fi/warsa/places/cemeteries/h0023_1 ,"Nurmijärvi, kirkonkylän hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0023_2 ,"Nurmijärvi, Rajamäki "
http://ldf.fi/warsa/places/cemeteries/h0024_1 ,Orimattila 
http://ldf.fi/warsa/places/cemeteries/h0024_2 ,"Orimattila, Kuivanto "
http://ldf.fi/warsa/places/cemeteries/h0025_1 ,Pernaja 
http://ldf.fi/warsa/places/cemeteries/h0026_1 ,Pohja 
http://ldf.fi/warsa/places/cemeteries/h0027_1 ,Pornainen 
http://ldf.fi/warsa/places/cemeteries/h0028_1 ,Porvoo 
http://ldf.fi/warsa/places/cemeteries/h0030_1 ,Pukkila 
http://ldf.fi/warsa/places/cemeteries/h0031_1 ,Ruotsinpyhtää 
http://ldf.fi/warsa/places/cemeteries/h0031_2 ,"Ruotsinpyhtää, Haavisto "
http://ldf.fi/warsa/places/cemeteries/h0031_3 ,"Ruotsinpyhtää, Kuninkaankylä "
http://ldf.fi/warsa/places/cemeteries/h0032_1 ,"Sammatti, Kirkkomaa "
http://ldf.fi/warsa/places/cemeteries/h0033_1 ,Sipoo 
http://ldf.fi/warsa/places/cemeteries/h0034_1 ,Siuntio 
http://ldf.fi/warsa/places/cemeteries/h0035_1 ,"Tammisaari, uusi hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0035_2 ,"Tammisaari, Snappertuna "
http://ldf.fi/warsa/places/cemeteries/h0036_1 ,"Tenhola, Bromarf "
http://ldf.fi/warsa/places/cemeteries/h0037_1 ,"Tuusula, Kirkkopuisto "
http://ldf.fi/warsa/places/cemeteries/h0037_2 ,"Tuusula, Kellokoski "
http://ldf.fi/warsa/places/cemeteries/h0038_1 ,"Vantaa, Helsingin pitäjän kirkon hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0038_2 ,"Vantaa, Ruskeasanta "
http://ldf.fi/warsa/places/cemeteries/h0039_1 ,Vihti 
http://ldf.fi/warsa/places/cemeteries/h0101_1 ,Alastaro 
http://ldf.fi/warsa/places/cemeteries/h0101_2 ,"Alastaro, Virttaa "
http://ldf.fi/warsa/places/cemeteries/h0103_1 ,Aura 
http://ldf.fi/warsa/places/cemeteries/h0104_1 ,Dragsfjärd 
http://ldf.fi/warsa/places/cemeteries/h0104_2 ,"Dragsfjärd, Hiittinen "
http://ldf.fi/warsa/places/cemeteries/h0105_1 ,Eura 
http://ldf.fi/warsa/places/cemeteries/h0105_2 ,"Eura, Hinnerjoki "
http://ldf.fi/warsa/places/cemeteries/h0105_3 ,"Eura, Honkilahti "
http://ldf.fi/warsa/places/cemeteries/h0106_1 ,Eurajoki 
http://ldf.fi/warsa/places/cemeteries/h0107_1 ,Halikko 
http://ldf.fi/warsa/places/cemeteries/h0107_2 ,"Halikko, Angelniemi "
http://ldf.fi/warsa/places/cemeteries/h0108_1 ,Harjavalta 
http://ldf.fi/warsa/places/cemeteries/h0109_1 ,Honkajoki 
http://ldf.fi/warsa/places/cemeteries/h0110_1 ,Houtskari 
http://ldf.fi/warsa/places/cemeteries/h0111_1 ,Huittinen 
http://ldf.fi/warsa/places/cemeteries/h0111_2 ,"Huittinen, Huhtamo "
http://ldf.fi/warsa/places/cemeteries/h0112_1 ,Hämeenkyrö 
http://ldf.fi/warsa/places/cemeteries/h0113_1 ,Ikaalinen 
http://ldf.fi/warsa/places/cemeteries/h0114_1 ,Iniö 
http://ldf.fi/warsa/places/cemeteries/h0115_1 ,Jämijärvi 
http://ldf.fi/warsa/places/cemeteries/h0117_1 ,Kalanti 
http://ldf.fi/warsa/places/cemeteries/h0118_1 ,Kankaanpää 
http://ldf.fi/warsa/places/cemeteries/h0119_1 ,Karinainen 
http://ldf.fi/warsa/places/cemeteries/h0120_1 ,Karvia 
http://ldf.fi/warsa/places/cemeteries/h0121_1 ,Kemiö 
http://ldf.fi/warsa/places/cemeteries/h0122_1 ,Kihniö 
http://ldf.fi/warsa/places/cemeteries/h0123_1 ,Kiikala 
http://ldf.fi/warsa/places/cemeteries/h0124_1 ,Kiikoinen 
http://ldf.fi/warsa/places/cemeteries/h0125_1 ,Kisko 
http://ldf.fi/warsa/places/cemeteries/h0126_1 ,Kiukainen 
http://ldf.fi/warsa/places/cemeteries/h0128_1 ,Kokemäki 
http://ldf.fi/warsa/places/cemeteries/h0128_2 ,"Kokemäki, Kauvatsa "
http://ldf.fi/warsa/places/cemeteries/h0128_3 ,Kokemäki 
http://ldf.fi/warsa/places/cemeteries/h0129_1 ,Korppoo 
http://ldf.fi/warsa/places/cemeteries/h0129_2 ,"Korppoo, Norrskata "
http://ldf.fi/warsa/places/cemeteries/h0130_1 ,Koski Tl. 
http://ldf.fi/warsa/places/cemeteries/h0131_1 ,Kullaa 
http://ldf.fi/warsa/places/cemeteries/h0132_1 ,Kustavi 
http://ldf.fi/warsa/places/cemeteries/h0133_1 ,Kuusjoki 
http://ldf.fi/warsa/places/cemeteries/h0134_1 ,Köyliö 
http://ldf.fi/warsa/places/cemeteries/h0136_1 ,Lappi 
http://ldf.fi/warsa/places/cemeteries/h0137_1 ,Lavia 
http://ldf.fi/warsa/places/cemeteries/h0138_1 ,Lemu 
http://ldf.fi/warsa/places/cemeteries/h0138_2 ,"Lemu, Askainen "
http://ldf.fi/warsa/places/cemeteries/h0139_1 ,Lieto 
http://ldf.fi/warsa/places/cemeteries/h0140_1 ,Loimaan kaupunkiseurakunnan sankarihautausmaa 
http://ldf.fi/warsa/places/cemeteries/h0141_1 ,"Loimaan kunta, Kanta-Loimaan seurakunnan sankarihauta "
http://ldf.fi/warsa/places/cemeteries/h0141_2 ,"Loimaan kunta, Metsämaa "
http://ldf.fi/warsa/places/cemeteries/h0142_1 ,Luvia 
http://ldf.fi/warsa/places/cemeteries/h0143_1 ,Marttila 
http://ldf.fi/warsa/places/cemeteries/h0144_1 ,Masku 
http://ldf.fi/warsa/places/cemeteries/h0145_1 ,Mellilä 
http://ldf.fi/warsa/places/cemeteries/h0146_1 ,Merikarvia 
http://ldf.fi/warsa/places/cemeteries/h0147_1 ,Merimasku 
http://ldf.fi/warsa/places/cemeteries/h0148_1 ,Mietoinen 
http://ldf.fi/warsa/places/cemeteries/h0149_1 ,Mouhijärvi 
http://ldf.fi/warsa/places/cemeteries/h0150_1 ,Muurla 
http://ldf.fi/warsa/places/cemeteries/h0151_1 ,Mynämäki 
http://ldf.fi/warsa/places/cemeteries/h0151_2 ,"Mynämäki, Karjala "
http://ldf.fi/warsa/places/cemeteries/h0152_1 ,Naantali 
